gpa,experience,projects,test_score,communication
2.37,7,10,60,57
2.08,0,1,40,100
3.18,2,8,39,27
3.36,3,1,96,44
2.03,7,20,43,92
3.02,5,8,39,85
2.45,9,8,30,98
3.29,6,7,34,69
2.35,7,16,49,86
3.38,1,0,37,68
2.77,9,10,72,55
3.87,10,7,30,87
2.28,7,9,86,97
2.68,2,6,93,60
2.23,6,2,57,81
3.85,2,2,66,29
3.75,6,17,76,40
2.52,10,4,66,55
3.32,1,11,78,31
3.63,9,11,73,21
3.11,5,18,85,32
3.06,2,5,57,72
2.48,2,1,35,51
2.19,8,11,90,35
3.79,6,18,49,51
3.8,4,4,31,51
3.27,9,11,66,30
2.68,6,16,49,29
2.7,8,16,55,34
3.45,0,9,58,36
3.79,6,16,30,59
3.77,5,14,64,37
3.56,9,11,99,74
3.28,8,15,88,92
2.17,0,18,98,44
2.32,3,7,62,78
3.8,8,20,80,97
3.21,3,16,41,41
2.02,9,4,49,49
2.2,2,15,82,63
3.33,8,5,72,51
2.01,1,7,79,70
2.32,3,17,58,65
3.1,5,11,86,40
3.38,1,14,68,51
3.3,7,8,85,58
2.45,7,12,72,31
3.42,0,14,79,66
2.47,2,9,52,37
2.65,9,15,73,40
3.49,8,6,67,32
3.3,4,16,52,40
3.7,5,20,74,27
3.32,3,6,81,65
3.14,9,13,79,26
2.19,1,14,37,42
2.74,10,20,30,94
2.53,7,6,37,41
2.49,10,8,58,41
3.95,5,18,34,48
2.79,4,15,76,32
3.78,8,7,63,21
3.26,0,17,94,48
3.59,4,17,84,98
3.01,5,19,72,71
3.15,4,6,59,46
2.99,5,2,46,69
2.39,5,17,55,98
3.44,6,9,37,42
2.56,3,6,76,63
2.05,10,16,75,96
3.29,7,13,97,41
2.35,6,2,62,62
3.88,8,11,30,56
3.91,6,12,48,80
3.83,2,1,60,75
2.74,2,2,43,22
2.03,7,4,82,82
3.86,4,10,77,38
2.86,3,7,98,42
3.93,7,11,91,48
3.93,5,6,95,49
3.71,1,14,93,58
2.59,3,16,99,44
2.77,10,3,92,27
3.7,3,12,62,77
2.63,5,17,70,35
2.34,5,0,77,91
3.11,0,15,42,20
3.87,7,12,60,24
3.39,5,9,97,22
3.14,2,11,33,84
2.19,8,1,48,23
3.23,1,2,99,83
3.98,10,9,42,29
2.28,7,1,52,40
3.04,9,12,30,65
3.75,2,12,83,46
3.48,4,17,100,85
3.39,5,2,44,60
3.4,9,6,94,32
2.72,5,13,100,28
2.59,3,19,44,55
3.62,2,16,50,77
3.62,3,20,48,73
3.73,0,11,89,31
3.83,3,15,62,100
3.02,0,11,78,97
3.0,0,14,64,33
3.6,9,9,73,53
3.3,5,6,40,72
3.4,4,19,95,39
3.59,10,4,75,94
3.78,3,0,38,35
2.68,10,16,32,89
2.75,2,2,55,75
2.19,0,12,77,77
3.16,5,13,95,23
2.07,1,17,99,23
2.93,7,3,57,39
3.09,9,17,55,29
2.57,4,4,54,43
3.18,6,15,41,45
2.06,9,0,34,56
2.07,1,20,77,73
3.65,7,13,66,40
2.72,1,14,73,93
2.25,3,8,44,57
3.04,0,14,72,65
3.54,4,16,77,23
2.43,8,3,99,79
3.25,0,11,75,76
2.17,8,4,72,64
2.1,10,4,50,39
3.06,7,10,52,36
3.08,5,5,76,90
3.27,6,6,44,23
3.45,2,13,54,33
3.95,0,10,65,22
3.03,4,12,80,99
2.65,1,1,44,77
3.59,4,6,97,74
2.54,7,19,50,23
2.88,10,3,42,43
2.16,8,7,48,53
2.05,1,19,63,49
3.93,2,20,97,38
3.67,2,18,81,50
3.39,0,12,56,79
2.82,7,13,58,79
2.35,5,9,57,38
2.31,7,10,64,68
2.5,10,1,37,82
3.1,8,8,45,41
3.43,4,16,65,43
3.32,2,2,59,95
2.56,4,5,47,49
3.91,4,4,31,77
3.48,4,4,78,50
3.11,2,14,33,83
3.22,10,16,36,38
2.84,9,8,68,67
2.5,3,2,42,64
2.71,8,19,60,74
3.52,9,16,100,74
2.03,8,9,92,37
2.23,1,2,85,82
2.09,7,17,71,66
2.08,7,17,90,94
3.71,6,16,71,76
3.41,7,2,85,64
2.95,2,2,65,52
2.2,5,5,97,36
2.98,0,12,36,89
2.95,6,14,83,23
2.35,0,8,30,39
2.87,8,3,73,66
2.8,0,13,74,34
3.23,0,4,76,89
3.27,6,1,42,66
2.09,1,10,51,97
2.75,4,8,50,94
3.25,7,2,38,28
3.01,7,8,55,35
3.71,2,2,38,88
3.32,6,1,44,80
2.33,2,11,39,29
2.14,5,9,71,69
3.28,5,8,53,22
2.05,2,14,78,96
3.17,6,7,55,89
3.88,2,4,66,100
3.15,7,10,97,70
2.78,9,1,79,38
3.29,3,14,53,61
2.92,0,5,48,54
3.09,3,7,89,65
3.88,6,4,68,45
2.77,10,15,47,88
3.92,3,17,48,83
3.81,5,5,65,56
2.39,8,4,84,68
2.14,0,15,98,40
2.2,4,12,76,93
2.04,10,4,78,83
2.19,6,12,62,24
3.37,0,16,50,89
2.14,3,17,51,23
2.64,5,7,77,58
3.69,1,12,66,54
2.05,9,18,44,20
3.63,4,2,64,43
2.56,10,7,100,76
2.24,9,1,61,89
3.39,0,7,40,60
3.26,5,12,39,73
3.75,5,12,86,65
3.47,3,0,54,79
3.61,7,5,31,79
2.56,3,18,93,76
2.35,7,15,64,50
3.5,7,7,36,43
3.61,4,0,47,55
3.98,3,15,96,49
2.83,1,8,71,43
2.74,10,12,68,49
3.55,2,10,70,26
2.68,2,12,53,54
3.86,3,20,89,74
3.72,3,9,75,33
2.86,9,3,48,29
3.5,10,5,97,99
3.51,10,6,71,35
2.21,4,4,61,73
3.81,3,10,68,96
3.01,10,12,65,89
3.65,9,18,65,63
2.64,7,9,32,92
3.79,5,9,37,64
2.78,5,10,99,75
2.02,7,20,70,76
3.81,6,6,97,40
2.18,9,17,42,87
2.64,10,3,78,69
3.9,9,1,89,52
3.9,7,13,31,26
3.15,1,12,89,89
3.26,8,11,34,34
2.9,0,6,73,51
2.59,7,1,56,94
2.66,10,12,61,39
3.35,3,13,50,34
3.5,3,16,37,67
3.58,4,8,79,90
3.58,7,16,96,40
2.18,4,7,73,61
2.99,7,1,87,45
2.12,9,12,32,33
3.1,0,2,99,76
2.88,9,15,31,56
3.78,8,5,73,77
2.7,5,18,31,40
2.23,2,6,64,88
2.29,7,9,59,22
3.52,8,8,37,56
3.24,5,1,51,68
2.2,10,14,73,38
2.17,6,4,87,31
3.4,0,3,65,80
2.15,4,19,98,60
3.64,4,3,60,52
3.41,9,17,76,69
2.16,3,3,84,87
2.17,5,16,91,90
3.97,6,11,59,52
2.75,8,16,84,100
2.74,0,9,45,43
3.63,5,0,41,80
3.89,6,17,46,80
3.97,2,17,45,47
3.51,7,13,41,77
2.75,4,14,37,62
2.17,8,11,32,60
3.55,4,3,45,58
3.12,8,2,59,68
2.85,9,19,52,36
3.81,3,11,34,89
2.22,8,6,94,89
2.99,4,10,59,84
2.02,9,0,50,93
2.94,8,5,99,24
2.11,2,14,51,21
2.24,3,14,61,41
2.24,8,18,62,76
3.3,9,10,45,85
3.49,10,1,67,93
3.17,5,13,43,35
3.92,1,1,65,70
2.75,6,3,52,58
2.57,1,16,95,95
3.74,10,2,31,59
2.45,1,12,94,57
3.93,10,8,96,79
2.02,0,6,81,78
3.94,10,14,91,29
2.09,10,10,52,83
3.78,10,19,55,82
3.06,2,1,97,68
3.99,5,14,84,83
2.15,7,13,35,51
3.11,8,19,64,26
3.94,6,10,51,40
3.05,3,2,72,39
3.26,5,16,44,45
3.39,4,11,89,87
2.91,7,20,41,34
3.26,0,14,78,98
3.17,0,15,71,33
3.8,10,4,67,46
2.09,5,19,74,59
2.56,9,5,64,77
3.9,1,18,59,47
3.78,4,4,59,45
2.91,0,2,35,82
3.24,6,0,96,85
2.55,0,5,36,44
2.38,3,14,81,22
2.93,8,1,43,91
2.71,0,2,44,63
3.17,3,16,50,61
2.16,5,11,64,25
3.95,5,17,95,58
3.97,7,14,31,71
